AGREEMENTID,FORECLOSURE
11220003,0.7719602428089389
11220004,0.849274498170597
11220005,0.855655587546543
11220007,0.8988759974213363
11220009,0.06700962552398804
11220013,0.7171221165343461
11220015,0.21654537430712695
11220018,0.8923734588962666
11220019,0.8753031562327265
11220023,0.059899691849264726
11220024,0.7371659643855605
11220027,0.8041350957096242
11220028,0.8448449247745178
11220031,0.792328451584408
11220033,0.8802835040100607
11220035,0.792786497388324
11220038,0.8715695286639391
11220045,0.7671211387293082
11220047,0.06452266322008292
11220049,0.071080994561931
11220060,0.7484855136942046
11220062,0.7651701418854688
11220068,0.06322329658855846
11220071,0.0630902988798999
11220073,0.6792418690545634
11220078,0.0973416858056152
11220079,0.06395471408692938
11220080,0.8554153060311479
11220086,0.013483404740160038
11220087,0.06456768543234974
11220091,0.880840244261856
11220093,0.06436943527731712
11220094,0.8902388336169346
11220095,0.05538351570193705
11220097,0.06676855670034024
11220099,0.8024205826670173
11220101,0.03912179890806188
11220102,0.042005718874394395
11220103,0.06015478334244616
11220110,0.07965258316976385
11220111,0.8169405984896637
11220116,0.039807044709681876
11220119,0.5951766470918559
11220121,0.826438493502385
11220123,0.08599248350446793
11220125,0.9159391750790207
11220127,0.851436605194479
11220131,0.06682522791565643
11220140,0.0610823742326678
11220141,0.04879130482494602
11220142,0.8497326274500165
11220147,0.06328785085126407
11220148,0.7991005716978488
11220149,0.04747133160920867
11220151,0.0482416633411704
11220158,0.8356632428585116
11220160,0.01325314869731844
11220163,0.8022612207845768
11220167,0.9069935221929132
11220171,0.07403258971506825
11220174,0.8990854334681369
11220176,0.6858278901238236
11220180,0.8488339513621138
11220181,0.8757415758712626
11220182,0.05127572377700303
11220183,0.811014482106064
11220184,0.5759039433860951
11220186,0.9083555916762514
11220188,0.06611680631468628
11220189,0.8786794805561992
11220190,0.049098858725173576
11220192,0.05602832647288963
11220193,0.05965484647060353
11220194,0.879427811848495
11220195,0.04896005082030724
11220196,0.03245326972284096
11220197,0.01660319342169633
11220201,0.3417038962928243
11220202,0.05230988244617773
11220204,0.8270528900779741
11220205,0.872904504040953
11220206,0.8452963526997906
11220207,0.8264269190359981
11220211,0.8502125033506395
11220212,0.04078854078366499
11220214,0.06338030378194902
11220215,0.08448793794011367
11220218,0.7961414384989753
11220219,0.8927586417736592
11220224,0.06726963429969532
11220229,0.7756905768537731
11220234,0.892817350388303
11220242,0.31513063774045985
11220243,0.014230698343770493
11220245,0.8556086478396909
11220248,0.829183583134152
11220251,0.016964247655305714
11220252,0.03866712438175825
11220253,0.8520042190173103
11220254,0.8293559296837495
11220256,0.08954929232589534
11220258,0.8540877707932535
11220260,0.8879992316303772
11220261,0.05243077979354554
11220262,0.8034833030551566
11220263,0.8744244105323272
11220266,0.05839481398275821
11220271,0.052974315627994754
11220273,0.8373761538075497
11220278,0.8979302323056849
11220279,0.02449386849948457
11220280,0.8440168753026251
11220282,0.9138919927818604
11220285,0.040813345895738276
11220286,0.547197211281055
11220287,0.8796220341869136
11220288,0.911842116434374
