AGREEMENTID,FORECLOSURE
11220003,0.7987557504071416
11220004,0.8936660054325333
11220005,0.8921047705504752
11220007,0.9150735927376908
11220009,0.06005299078401171
11220013,0.8588347690317271
11220015,0.10319967001315616
11220018,0.9206276254429742
11220019,0.8840250335727721
11220023,0.06067805747905794
11220024,0.8404619681956136
11220027,0.8752014044982404
11220028,0.8841595906494116
11220031,0.8362011011986653
11220033,0.9094558785126734
11220035,0.8622531502189283
11220038,0.8812266084640872
11220045,0.8597441998302787
11220047,0.08731205184472873
11220049,0.06512316813232956
11220060,0.8535050305803346
11220062,0.8695420185304201
11220068,0.06574070199359552
11220071,0.10021368189990472
11220073,0.8656821159727347
11220078,0.07812342970749474
11220079,0.05491812450242129
11220080,0.9109110916540352
11220086,0.04736607324240462
11220087,0.08085197708379896
11220091,0.8846559482728689
11220093,0.05604841814036016
11220094,0.9253611936223852
11220095,0.059742909174671545
11220097,0.0675168098323604
11220099,0.8555620476038469
11220101,0.0652489119491259
11220102,0.06683100343722716
11220103,0.0683518621941484
11220110,0.0939135991684083
11220111,0.8718251589905245
11220116,0.06474849438083596
11220119,0.8044071651268183
11220121,0.858911605961077
11220123,0.7112432359755437
11220125,0.9148739288352075
11220127,0.8516988994124897
11220131,0.08675914159973518
11220140,0.07007293924510956
11220141,0.05939474276250521
11220142,0.9074618998615313
11220147,0.0761110344743253
11220148,0.8632298846909762
11220149,0.0653381603388933
11220151,0.06980759060275321
11220158,0.8907450319757555
11220160,0.0437196232912914
11220163,0.8620621454704127
11220167,0.9037232475264914
11220171,0.09139319691325892
11220174,0.9190411024089842
11220176,0.810292528639087
11220180,0.897105961476436
11220181,0.9084565045826795
11220182,0.0743277789860617
11220183,0.8689938276587205
11220184,0.7871252219831348
11220186,0.9297111623649088
11220188,0.07612961248367912
11220189,0.9036055132495304
11220190,0.06003859659638361
11220192,0.06597101016872806
11220193,0.08656811549201388
11220194,0.8728659499641038
11220195,0.06710576665507696
11220196,0.05467238412941816
11220197,0.06492945557361116
11220201,0.541723729933365
11220202,0.06715056754134754
11220204,0.8304518331212495
11220205,0.9180566012361461
11220206,0.8749006458896647
11220207,0.8764133467112113
11220211,0.9062003698428144
11220212,0.06203152658507689
11220214,0.07993586369835345
11220215,0.09580850046147137
11220218,0.8687239880948884
11220219,0.8985354792357373
11220224,0.08738451223056418
11220229,0.8638820737621579
11220234,0.9064075490530475
11220242,0.7542763695879047
11220243,0.04331398616268702
11220245,0.908518701516267
11220248,0.8546113093008346
11220251,0.05482248623199958
11220252,0.06774566496214292
11220253,0.8454670482646561
11220254,0.8959211878420896
11220256,0.09418557410850867
11220258,0.8958721815345464
11220260,0.903169678616615
11220261,0.07331761980313398
11220262,0.8535727466333446
